Class,Violation Type,Severity,Message,Start Line,Start Column,End Line,End Column
AMGServiceWrapper.cls,FieldNamingConventions,4,The instance field name 'DocumentID' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-FieldNamingConventions),19,9,19,87
AMGServiceWrapper.cls,FieldNamingConventions,4,The instance field name 'ContractID' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-FieldNamingConventions),20,9,20,66
AMGServiceWrapper.cls,FieldNamingConventions,4,The instance field name 'QuoteID' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-FieldNamingConventions),21,9,21,53
AMGServiceWrapper.cls,FieldNamingConventions,4,The instance field name 'CreatedUser' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-FieldNamingConventions),22,9,22,66
AMGServiceWrapper.cls,FieldNamingConventions,4,The instance field name 'Status' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-FieldNamingConventions),23,9,23,48
APICalloutUtil.cls,CognitiveComplexity,4,The class 'APICalloutUtil' has a total cognitive complexity of 63 (highest 14)  current threshold is 50 (rule: Design-CognitiveComplexity),7,1,7,34
APICalloutUtil.cls,ExcessiveParameterList,4,Avoid long parameter lists (rule: Design-ExcessiveParameterList),13,5,13,132
APICalloutUtil.cls,OneDeclarationPerLine,4,Use one statement for each line  it enhances code readability. (rule: Code Style-OneDeclarationPerLine),15,9,15,65
APICalloutUtil.cls,ApexSuggestUsingNamedCred,4,Consider using named credentials for authenticated callouts (rule: Security-ApexSuggestUsingNamedCred),44,13,44,69
APICalloutUtil.cls,OneDeclarationPerLine,4,Use one statement for each line  it enhances code readability. (rule: Code Style-OneDeclarationPerLine),96,9,96,65
APICalloutUtil.cls,ApexSuggestUsingNamedCred,4,Consider using named credentials for authenticated callouts (rule: Security-ApexSuggestUsingNamedCred),120,13,120,69
APICalloutUtil.cls,OneDeclarationPerLine,4,Use one statement for each line  it enhances code readability. (rule: Code Style-OneDeclarationPerLine),169,9,169,65
APICalloutUtil.cls,ApexSuggestUsingNamedCred,4,Consider using named credentials for authenticated callouts (rule: Security-ApexSuggestUsingNamedCred),193,13,193,69
APICalloutUtil.cls,ExcessiveParameterList,4,Avoid long parameter lists (rule: Design-ExcessiveParameterList),238,5,238,139
APICalloutUtil.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),238,5,238,139
APICalloutUtil.cls,ApexSuggestUsingNamedCred,4,Consider using named credentials for authenticated callouts (rule: Security-ApexSuggestUsingNamedCred),264,13,264,70
APICalloutUtil.cls,ApexSuggestUsingNamedCred,4,Consider using named credentials for authenticated callouts (rule: Security-ApexSuggestUsingNamedCred),269,13,269,69
APICalloutUtil.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),318,5,318,81
APICalloutUtil.cls,ClassNamingConventions,4,Class names should begin with an uppercase character (rule: Code Style-ClassNamingConventions),396,5,396,32
APICalloutUtil.cls,PropertyNamingConventions,4,The instance property name 'client_id' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),397,9,397,44
APICalloutUtil.cls,PropertyNamingConventions,4,The instance property name 'client_secret' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),398,9,398,48
APICalloutUtil.cls,PropertyNamingConventions,4,The instance property name 'grant_type' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),399,9,399,45
APICalloutUtil.cls,ExcessiveParameterList,4,Avoid long parameter lists (rule: Design-ExcessiveParameterList),416,5,416,108
APICalloutUtil.cls,ApexDangerousMethods,4,Calling potentially dangerous method (rule: Security-ApexDangerousMethods),430,9,430,40
APICalloutUtil.cls,ApexSuggestUsingNamedCred,4,Consider using named credentials for authenticated callouts (rule: Security-ApexSuggestUsingNamedCred),432,13,432,66
AccountApprovalExpiration.cls,AvoidGlobalModifier,4,Avoid using global modifier (rule: Best Practices-AvoidGlobalModifier),1,1,1,80
AccountApprovalExpiration.cls,EmptyStatementBlock,4,Avoid empty block statements. (rule: Error Prone-EmptyStatementBlock),31,5,31,63
AccountApprovalExpiration_Sched.cls,ApexSharingViolations,4,Apex classes should declare a sharing model if DML or SOQL is used (rule: Security-ApexSharingViolations),1,1,1,70
AccountApprovalExpiration_Sched.cls,AvoidGlobalModifier,4,Avoid using global modifier (rule: Best Practices-AvoidGlobalModifier),1,1,1,70
